Genetree,reference1,Mmi-a,Mmi-b,Han-a,Han-b,Sre-a,Sre-b,Cca-a,Cti-a,Eca-a,Cso-a
Asterales_Lsa_chr1_gene2058,Lsa1g2058|XP_023733257|(79020794-79021376),Mmi16g1131|KAD3337200.1|(59501059-59503297),none,none,none,none,none,Cca10g0474|XP_024984112|(16986619-16991280),Cti6g0627|CtAH06T0062700.1|(8012002-8012412),none,none
Asterales_Lsa_chr1_gene2059,Lsa1g2059|XP_023733258|(79027412-79028010),Mmi16g1160|KAD3337229.1|(60721525-60722041),none,Han1g2206|XP_021980431|(123882133-123882720),none,none,none,Cca10g0887|XP_024983405|(23045969-23046645),none,none,none
Asterales_Lsa_chr1_gene2060,Lsa1g2060|XP_023733280|(79131475-79134098),Mmi16g1158|KAD3337227.1|(60700638-60701945),none,none,Han11g2774|XP_035836043|(164263894-164265267),Sre1g2058|Streb.1G020580.1|(76052980-76054399),none,Cca10g0886|XP_024984199|(23040367-23041800),Cti6g0628|CtAH06T0062800.1|(8068709-8070133),Eca9g1916|XP_043611873|(30251035-30252324),none
Asterales_Lsa_chr1_gene2061,Lsa1g2061|XP_023741418|(79269632-79271908),none,Mmi7g1254|KAD5803516.1|(57993748-57997499),Han1g2236|XP_021980728|(125079791-125083895),none,none,Sre3g1637|Streb.3G016370.1|(21249153-21252567),Cca10g0860|XP_024983146|(22728397-22731152),Cti6g0652|CtAH06T0065200.1|(8469050-8484441),Eca9g1881|XP_043609938|(29836045-29839514),none
Asterales_Lsa_chr1_gene2062,Lsa1g2062|XP_023741414|(79273486-79276197),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2063,Lsa1g2063|XP_023741412|(79430328-79433151),none,Mmi7g1253|KAD5803515.1|(57946258-57954731),Han1g2234|XP_021980715|(125063259-125067503),none,none,Sre3g1638|Streb.3G016380.1|(21275052-21279167),Cca10g0861|XP_024983973|(22734731-22738360),Cti6g0651|CtAH06T0065100.1|(8451665-8455445),Eca9g1883|XP_043611056|(29847761-29850542),Cso3g4231|KAJ9558974.1|(98589080-98589143)
Asterales_Lsa_chr1_gene2064,Lsa1g2064|XP_023739759|(79621868-79622821),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2065,Lsa1g2065|XP_023739758|(79623281-79623751),none,none,none,none,none,none,Cca10g0863|XP_024983707|(22791797-22793560),none,none,Cso3g4232|KAJ9558980.1|(98594185-98594672)
Asterales_Lsa_chr1_gene2066,Lsa1g2066|XP_023739789|(79632037-79633166),Mmi16g1148|KAD3337217.1|(60173115-60173582),none,none,Han11g2745|XP_021994222|(162718727-162723691),Sre1g2042|Streb.1G020420.1|(74436340-74437482),none,none,Cti6g0650|CtAH06T0065000.1|(8448914-8449336),none,none
Asterales_Lsa_chr1_gene2067,Lsa1g2067|XP_023739791|(79670092-79670833),Mmi16g1145|KAD3337214.1|(60081454-60082035),none,none,Han11g2746|XP_021994224|(162753247-162754095),none,Sre3g1645|Streb.3G016450.1|(21369031-21369909),Cca10g0864|XP_024983272|(22804228-22804966),none,Eca9g1889|XP_043610757|(29958621-29959407),Cso3g4234|KAJ9558984.1|(98621647-98622207)
Asterales_Lsa_chr1_gene2068,Lsa1g2068|XP_023739783|(79769144-79769964),Mmi16g1146|KAD3337215.1|(60113758-60114339),none,Han1g2226|XP_021980653|(124666662-124667568),none,none,Sre3g1644|Streb.3G016440.1|(21365119-21365868),none,none,none,none
Asterales_Lsa_chr1_gene2069,Lsa1g2069|XP_023739786|(79771840-79772659),Mmi16g1145|KAD3337214.1|(60081454-60082035),none,Han1g2223|XP_022036880|(124606547-124607101),none,Sre1g2043|Streb.1G020430.1|(74719006-74719588),Sre3g1642|Streb.3G016420.1|(21358067-21358645),none,Cti6g0647|CtAH06T0064700.1|(8425011-8425586),none,none
Asterales_Lsa_chr1_gene2070,Lsa1g2070|XP_023739772|(79788976-79794453),none,Mmi7g1252|KAD5803514.1|(57888080-57893319),Han1g2221|XP_021980479|(124537274-124545093),Han11g2747|XP_021994225|(162855079-162861644),Sre1g2046|Streb.1G020460.1|(75005442-75010071),Sre3g1646|Streb.3G016460.1|(21388829-21393982),Cca10g0865|XP_024983127|(22817321-22824375),Cti6g0646|CtAH06T0064600.1|(8411071-8416537),Eca9g1890|XP_043610247|(29974956-29980455),Cso3g4235|KAJ9558977.1|(98627309-98627695)
Asterales_Lsa_chr1_gene2071,Lsa1g2071|XP_023739785|(79824548-79826257),none,none,none,Han11g2748|XP_021994226|(162862504-162867499),none,none,Cca10g0866|XP_024982377|(22824743-22827536),Cti6g0644|CtAH06T0064400.1|(8403529-8407317),Eca9g1891|XP_043610623|(29980804-29982799),Cso3g4236|KAJ9558978.1|(98634110-98634182)
Asterales_Lsa_chr1_gene2072,Lsa1g2072|XP_023739787|(79827392-79829501),none,Mmi7g1251|KAD5803513.1|(57881242-57884588),Han1g2220|XP_021980484|(124532116-124535841),none,none,Sre3g1647|Streb.3G016470.1|(21397584-21400611),Cca10g0867|XP_024982451|(22827707-22830686),none,none,Cso3g4237|KAJ9558983.1|(98642703-98642906)
Asterales_Lsa_chr1_gene2073,Lsa1g2073|XP_023739781|(79831043-79833474),none,Mmi7g1250|KAD5803512.1|(57876585-57879131),Han1g2219|XP_021980499|(124525986-124530476),none,none,Sre3g1648|Streb.3G016480.1|(21401053-21404638),Cca10g0868|XP_024982458|(22830752-22834147),Cti6g0643|CtAH06T0064300.1|(8398863-8405983),Eca9g1895|XP_043609290|(30018949-30023342),none
Asterales_Lsa_chr1_gene2074,Lsa1g2074|XP_023739793|(79837008-79839419),none,Mmi7g1249|KAD5803511.1|(57870619-57873258),Han1g2218|XP_021980507|(124519723-124523313),none,none,Sre3g1649|Streb.3G016490.1|(21407168-21409695),Cca10g0869|XP_024982453|(22836601-22842843),Cti6g0642|CtAH06T0064200.1|(8388981-8394707),Eca9g1896|XP_043611179|(30032333-30036455),Cso3g4238|KAJ9558982.1|(98651274-98651388)
Asterales_Lsa_chr1_gene2075,Lsa1g2075|XP_023739782|(79863054-79863565),Mmi16g1143|KAD3337212.1|(59951197-59979312),none,none,Han11g2749|XP_021994228|(162886332-162886875),none,Sre3g1652|Streb.3G016520.1|(21467748-21468632),Cca10g0870|XP_024983035|(22848585-22849094),none,none,none
Asterales_Lsa_chr1_gene2076,Lsa1g2076|XP_042757690|(79869062-79872252),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2077,Lsa1g2077|XP_023739773|(79872999-79876293),Mmi16g1142|KAD3337211.1|(59942015-59947528),none,none,Han11g2750|XP_021994229|(162893588-162896690),Sre1g2047|Streb.1G020470.1|(75026961-75030467),none,Cca10g0871|XP_024983031|(22849212-22853569),Cti6g0641|CtAH06T0064100.1|(8380763-8385248),Eca9g1897|XP_043610340|(30047638-30051461),Cso3g4239|KAJ9558975.1|(98657629-98657778)
Asterales_Lsa_chr1_gene2078,Lsa1g2078|XP_023739774|(79876260-79877604),none,none,none,none,none,none,Cca10g0872|XP_024983033|(22853628-22855948),Cti6g0640|CtAH06T0064000.1|(8377659-8380737),none,Cso3g4240|KAJ9558981.1|(98663203-98663285)
Asterales_Lsa_chr1_gene2079,Lsa1g2079|XP_023739777|(79897822-79900402),Mmi16g1141|KAD3337210.1|(59933338-59938998),none,none,Han11g2757|XP_021994251|(163086827-163091958),Sre1g2048|Streb.1G020480.1|(75082843-75086240),none,Cca10g0873|XP_024983032|(22857658-22860882),Cti6g0639|CtAH06T0063900.1|(8368470-8372979),Eca9g1901|XP_043609958|(30070049-30074548),Cso3g4241|KAJ9558976.1|(98666256-98666534)
Asterales_Lsa_chr1_gene2080,Lsa1g2080|XP_023739756|(79918802-79920855),Mmi16g1140|KAD3337209.1|(59925681-59927618),none,none,Han11g2758|XP_021994252|(163095841-163097957),Sre1g2049|Streb.1G020490.1|(75113787-75116129),none,Cca10g0874|XP_024983546|(22862410-22865563),Cti6g0638|CtAH06T0063800.1|(8365029-8366621),Eca9g1902|XP_043609802|(30075820-30077545),none
Asterales_Lsa_chr1_gene2081,Lsa1g2081|XP_023739762|(79932868-79933844),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2082,Lsa1g2082|XP_023739763|(79934043-79935425),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2083,Lsa1g2083|XP_023739784|(79936424-79947147),none,none,Han1g2217|XP_021980511|(124485365-124501280),none,none,Sre3g1653|Streb.3G016530.1|(21470043-21485380),none,none,Eca9g1903|XP_043610129|(30096658-30112003),none
Asterales_Lsa_chr1_gene2084,Lsa1g2084|XP_023739792|(80037527-80040766),none,none,none,Han11g2763|XP_021994254|(163213007-163218904),Sre1g2052|Streb.1G020520.1|(75228518-75232426),none,Cca10g0875|XP_024983885|(22875615-22880924),Cti6g0637|CtAH06T0063700.1|(8344495-8354754),Eca9g1905|XP_043609538|(30127265-30131910),none
Asterales_Lsa_chr1_gene2085,Lsa1g2085|XP_023739797|(80102768-80103685),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2086,Lsa1g2086|XP_042757695|(80140720-80143666),none,none,Han1g2210|XP_022029722|(124176593-124180455),Han11g2764|XP_021991901|(163305413-163308048),Sre1g2053|Streb.1G020530.1|(75387572-75399778),Sre3g1660|Streb.3G016600.1|(21593322-21595694),Cca10g0877|XP_024984331|(22886462-22889040),none,Eca9g1906|XP_043611867|(30134139-30135428),Cso3g4249|KAJ9559387.1|(98734952-98736172)
Asterales_Lsa_chr1_gene2087,Lsa1g2087|XP_023739757|(80196323-80198744),none,none,Han1g2214|XP_022029702|(124357164-124358552),Han11g2766|XP_021991903|(163451833-163454376),none,Sre3g1657|Streb.3G016570.1|(21533330-21537763),Cca10g0885|XP_024983447|(22981228-22983699),Cti6g0636|CtAH06T0063600.1|(8319089-8337228),Eca9g1907|XP_043610713|(30136302-30138876),Cso3g4248|KAJ9559386.1|(98726988-98728496)
Asterales_Lsa_chr1_gene2088,Lsa1g2088|XP_023739788|(80245911-80248617),Mmi16g1138|KAD3337207.1|(59792326-59794710),Mmi7g1246|KAD5803508.1|(57687168-57688603),Han1g2213|XP_021980370|(124350075-124352790),none,none,Sre3g1659|Streb.3G016590.1|(21555909-21558407),Cca10g0879|XP_024983594|(22913444-22915917),Cti6g0635|CtAH06T0063500.1|(8316695-8319079),Eca9g1909|XP_043610545|(30143485-30146166),Cso3g4245|KAJ9559383.1|(98716219-98718574)
Asterales_Lsa_chr1_gene2089,Lsa1g2089|XP_042752756|(80280982-80281590),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2090,Lsa1g2090|XP_023739780|(80318908-80320275),none,Mmi7g1240|KAD5803502.1|(57593054-57595711),Han1g2212|XP_021980378|(124278328-124280913),none,none,Sre3g1660|Streb.3G016600.1|(21593322-21595694),Cca10g0878|XP_024982594|(22893233-22899012),Cti6g0633|CtAH06T0063300.1|(8269244-8273760),Eca9g1910|XP_043611869|(30148604-30151050),Cso3g4244|KAJ9559384.1|(98706264-98707564)
Asterales_Lsa_chr1_gene2091,Lsa1g2091|XP_042752762|(80369628-80370569),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2092,Lsa1g2092|XP_023739765|(80476307-80479120),Mmi16g1147|KAD3337216.1|(60125309-60127669),Mmi7g1242|KAD5803504.1|(57618255-57624366),Han1g2211|XP_021980384|(124184421-124187034),none,none,none,Cca10g0879|XP_024983594|(22913444-22915917),none,Eca9g1911|XP_043611870|(30161602-30164001),Cso3g4243|KAJ9559382.1|(98698716-98701097)
Asterales_Lsa_chr1_gene2093,Lsa1g2093|XP_023739766|(80493627-80494405),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2094,Lsa1g2094|XP_023739796|(80497853-80500618),none,Mmi7g1246|KAD5803508.1|(57687168-57688603),Han1g2210|XP_022029722|(124176593-124180455),none,none,Sre3g1659|Streb.3G016590.1|(21555909-21558407),none,none,Eca9g1906|XP_043611867|(30134139-30135428),Cso3g4242|KAJ9559385.1|(98695564-98697068)
Asterales_Lsa_chr1_gene2095,Lsa1g2095|XP_023739767|(80514600-80514926),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2096,Lsa1g2096|XP_023739769|(80582595-80583656),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2097,Lsa1g2097|XP_023739770|(80584203-80585390),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2098,Lsa1g2098|XP_023739775|(80658097-80663679),Mmi16g1136|KAD3337205.1|(59698353-59718213),Mmi7g1236|KAD5803498.1|(57376559-57394219),Han1g2208|XP_021980403|(124060771-124074714),Han11g2768|XP_021982899|(163682379-163691839),none,Sre3g1662|Streb.3G016620.1|(21601825-21611828),Cca10g0882|XP_024982632|(22928370-22934639),Cti6g0631|CtAH06T0063100.1|(8255258-8262212),Eca9g1913|XP_043609171|(30183864-30191289),Cso3g4252|KAJ9558916.1|(98807544-98807943)
Asterales_Lsa_chr1_gene2099,Lsa1g2099|XP_042757704|(80674066-80683053),none,none,none,Han11g2770|XP_021982898|(163755388-163793222),none,none,none,none,Eca9g1914|XP_043609170|(30193306-30200144),Cso3g4253|KAJ9558915.1|(98823829-98824228)
Asterales_Lsa_chr1_gene2100,Lsa1g2100|XP_023752331|(81013687-81014140),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2101,Lsa1g2101|XP_023752254|(81111077-81114626),none,Mmi7g1255|KAD5803517.1|(58010634-58020339),Han1g2237|XP_022017181|(125179429-125182271),none,none,Sre3g1635|Streb.3G016350.1|(21238581-21240766),Cca10g0859|XP_024983588|(22695473-22698101),Cti6g0655|CtAH06T0065500.1|(8511527-8514061),Eca9g1879|XP_043610896|(29817080-29820171),Cso3g4232|KAJ9558980.1|(98594185-98594672)
Asterales_Lsa_chr1_gene2102,Lsa1g2102|XP_023752242|(81117360-81119488),none,none,none,Han11g2727|XP_021994215|(161400022-161406082),Sre1g2039|Streb.1G020390.1|(74129590-74132331),none,Cca10g0858|XP_024983425|(22687449-22693118),Cti6g0656|CtAH06T0065600.1|(8527674-8532481),Eca9g1878|XP_043610138|(29809660-29813940),none
Asterales_Lsa_chr1_gene2103,Lsa1g2103|XP_023752235|(81142777-81145830),none,Mmi7g1256|KAD5803518.1|(58032831-58036844),Han1g2239|XP_022017135|(125263594-125266619),none,none,Sre3g1634|Streb.3G016340.1|(21227582-21231241),Cca10g0857|XP_024982832|(22673654-22676549),Cti6g0657|CtAH06T0065700.1|(8533369-8537512),Eca9g1875|XP_043609162|(29790618-29793360),Cso3g4229|KAJ9558758.1|(98548823-98548883)
Asterales_Lsa_chr1_gene2104,Lsa1g2104|XP_023752229|(81194973-81200542),none,Mmi7g1257|KAD5803519.1|(58050784-58058673),Han1g2243|XP_021980534|(125321442-125329206),none,none,none,none,Cti11g2508|CtAH11T0250800.1|(72693745-72703724),none,Cso3g0844|KAJ9555389.1|(11755927-11757147)
Asterales_Lsa_chr1_gene2105,Lsa1g2105|XP_023752320|(81205403-81205970),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2106,Lsa1g2106|XP_023752315|(81206263-81214874),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2107,Lsa1g2107|XP_023752223|(81217481-81221198),none,Mmi7g1258|KAD5803520.1|(58077485-58080538),Han1g2244|XP_021980539|(125452361-125456057),Han11g2724|XP_021994214|(161362677-161366747),none,Sre3g1630|Streb.3G016300.1|(21187373-21191367),Cca10g0855|XP_024983658|(22626955-22631022),Cti6g0667|CtAH06T0066700.2|(8741002-8745293),Eca9g1874|XP_043609150|(29780020-29783682),Cso3g0846|KAJ9555364.1|(11788099-11788107)
Asterales_Lsa_chr1_gene2108,Lsa1g2108|XP_042757709|(81227614-81231701),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2109,Lsa1g2109|XP_023752201|(81250097-81251804),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2110,Lsa1g2110|XP_023752191|(81252341-81254736),none,Mmi7g1259|KAD5803521.1|(58108600-58115569),Han1g2245|XP_021980544|(125465266-125469717),none,none,Sre3g1628|Streb.3G016280.1|(21177013-21181697),Cca10g0853|XP_024982430|(22613218-22618713),Cti6g0669|CtAH06T0066900.1|(8756221-8761284),Eca9g1870|XP_043610479|(29757946-29762998),none
Asterales_Lsa_chr1_gene2111,Lsa1g2111|XP_042757715|(81447943-81449974),Mmi16g1150|KAD3337219.1|(60287135-60296115),Mmi7g1260|KAD5803522.1|(58132683-58134588),Han1g2249|XP_021980552|(125595206-125600309),none,Sre1g2038|Streb.1G020380.1|(74033889-74036757),Sre3g1627|Streb.3G016270.1|(21171629-21174452),Cca10g0852|XP_024982741|(22598812-22606022),Cti6g0670|CtAH06T0067000.2|(8767649-8773609),Eca9g1869|XP_043609944|(29750347-29754764),Cso3g0850|KAJ9555360.1|(11854828-11855001)
Asterales_Lsa_chr1_gene2112,Lsa1g2112|XP_042757718|(81623075-81627140),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2113,Lsa1g2113|XP_042757716|(81627775-81631256),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2114,Lsa1g2114|XP_042752784|(81693529-81694088),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2115,Lsa1g2115|XP_023752263|(81716385-81716957),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2116,Lsa1g2116|XP_023752169|(81750620-81752629),Mmi16g1042|KAD3337111.1|(56584550-56586197),Mmi7g1261|KAD5803523.1|(58178462-58180762),Han1g2250|XP_021980565|(125645085-125647480),Han11g2711|XP_022022093|(160561947-160566396),Sre1g2037|Streb.1G020370.1|(73938397-73940264),Sre3g1626|Streb.3G016260.1|(21159955-21162426),Cca10g0850|XP_024983422|(22571559-22573853),Cti6g0671|CtAH06T0067100.1|(8788354-8791106),Eca9g1868|XP_043610312|(29733697-29736240),none
Asterales_Lsa_chr1_gene2117,Lsa1g2117|XP_023752153|(81758472-81759066),none,Mmi7g1262|KAD5803524.1|(58183543-58185190),Han1g2251|XP_021980577|(125724377-125725053),none,none,Sre3g1625|Streb.3G016250.1|(21158291-21158982),none,Cti6g0672|CtAH06T0067200.1|(8799419-8799760),Eca9g1867|XP_043611853|(29729207-29729548),none
Asterales_Lsa_chr1_gene2118,Lsa1g2118|XP_042754297|(81790027-81791669),none,none,none,none,none,none,none,Cti6g0673|CtAH06T0067300.1|(8807115-8808735),Eca9g1866|XP_043611246|(29724211-29726293),Cso3g4227|KAJ9558856.1|(98281377-98281553)
Asterales_Lsa_chr1_gene2119,Lsa1g2119|XP_042754302|(81795525-81800143),none,Mmi7g1263|KAD5803525.1|(58188632-58192386),Han1g2253|XP_021980584|(125733872-125738160),none,none,Sre3g1624|Streb.3G016240.1|(21153133-21155857),Cca10g0849|XP_024982426|(22540348-22543696),Cti6g0674|CtAH06T0067400.1|(8809375-8815151),Eca9g1865|XP_043611253|(29720935-29724107),Cso3g4226|KAJ9558849.1|(98275312-98275952)
Asterales_Lsa_chr1_gene2120,Lsa1g2120|XP_023748690|(81934364-81935829),Mmi16g1041|KAD3337110.1|(56565711-56566412),Mmi7g1264|KAD5803526.1|(58224126-58224752),Han1g2255|XP_022029873|(125820003-125820713),Han11g2710|XP_022020883|(160548891-160550951),Sre1g2035|Streb.1G020350.1|(73733878-73734576),Sre3g1623|Streb.3G016230.1|(21142793-21144111),Cca10g0848|XP_024984479|(22527344-22528671),Cti6g0675|CtAH06T0067500.1|(8828150-8828863),Eca9g1864|XP_043610821|(29711321-29712988),none
Asterales_Lsa_chr1_gene2121,Lsa1g2121|XP_023748724|(82013037-82016622),none,Mmi7g1266|KAD5803528.1|(58238962-58243878),Han1g2256|XP_022022395|(125863896-125869576),none,none,Sre3g1622|Streb.3G016220.1|(21131697-21135690),Cca10g0847|XP_024984477|(22521173-22524232),Cti6g0676|CtAH06T0067600.1|(8833128-8837697),Eca9g1863|XP_043609360|(29702598-29706599),Cso3g4225|KAJ9558853.1|(98259527-98259778)
Asterales_Lsa_chr1_gene2122,Lsa1g2122|XP_023748682|(82019050-82019774),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2123,Lsa1g2123|XP_023748712|(82058918-82061822),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2124,Lsa1g2124|XP_023748681|(82066640-82067878),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2125,Lsa1g2125|XP_023748639|(82097648-82107710),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2126,Lsa1g2126|XP_023748714|(82208092-82210531),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2127,Lsa1g2127|XP_023748679|(82235097-82240839),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2128,Lsa1g2128|XP_023748713|(82251268-82253240),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2129,Lsa1g2129|XP_042752795|(82260525-82262107),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2130,Lsa1g2130|XP_023748651|(82262653-82264435),none,Mmi7g1268|KAD5803530.1|(58272019-58273179),Han1g2257|XP_022025397|(125870701-125872767),none,none,Sre3g1621|Streb.3G016210.1|(21129329-21131486),Cca10g0846|XP_024983733|(22518996-22520798),Cti6g0678|CtAH06T0067800.1|(8838718-8839836),Eca9g1862|XP_043609207|(29700322-29702471),none
Asterales_Lsa_chr1_gene2131,Lsa1g2131|XP_023748719|(82282207-82284093),none,none,Han1g2258|XP_035830443|(125924192-125927159),none,none,Sre3g1620|Streb.3G016200.1|(21110267-21113852),Cca10g0845|XP_024983763|(22508778-22514590),Cti6g0679|CtAH06T0067900.1|(8844129-8850158),Eca9g1861|XP_043611069|(29689340-29694845),Cso3g0893|KAJ9555411.1|(12577243-12578098)
Asterales_Lsa_chr1_gene2132,Lsa1g2132|XP_023748744|(82285592-82292930),none,Mmi7g1269|KAD5803531.1|(58296329-58320818),Han1g2259|XP_035830444|(125927716-125939322),none,none,Sre3g1619|Streb.3G016190.1|(21100164-21109555),Cca10g0844|XP_024984623|(22482160-22507771),Cti6g0680|CtAH06T0068000.1|(8852823-8869562),Eca9g1860|XP_043609467|(29663538-29675441),Cso3g4224|KAJ9558850.1|(98228632-98228854)
Asterales_Lsa_chr1_gene2133,Lsa1g2133|XP_023748746|(82304289-82305965),none,none,Han1g2260|XP_022022523|(125943497-125947061),none,none,Sre3g1618|Streb.3G016180.1|(21095795-21097850),Cca10g0843|XP_024984765|(22474763-22479455),Cti6g0681|CtAH06T0068100.1|(8872845-8878255),Eca9g1852|XP_043610582|(29613934-29618113),Cso3g4223|KAJ9558851.1|(98221895-98222002)
Asterales_Lsa_chr1_gene2134,Lsa1g2134|XP_042757745|(82309075-82314268),none,none,none,none,none,none,Cca10g0842|XP_024984437|(22461595-22467928),Cti6g0682|CtAH06T0068200.1|(8884535-8891828),none,Cso3g4222|KAJ9558857.1|(98215499-98215580)
Asterales_Lsa_chr1_gene2135,Lsa1g2135|XP_023748752|(82353090-82357512),Mmi16g1040|KAD3337109.1|(56533663-56540211),Mmi7g1270|KAD5803532.1|(58360645-58378663),Han1g2261|XP_022022661|(126004463-126010863),Han11g2709|XP_021994205|(160484452-160490869),Sre1g2033|Streb.1G020330.1|(73537428-73544419),Sre3g1617|Streb.3G016170.1|(21077264-21083699),Cca10g0841|XP_024983255|(22452782-22460520),Cti6g0683|CtAH06T0068300.1|(8894662-8909057),none,Cso3g4221|KAJ9558854.1|(98208307-98208410)
Asterales_Lsa_chr1_gene2136,Lsa1g2136|XP_023748730|(82360566-82364508),none,Mmi7g1286|KAD5803548.1|(58727125-58743796),Han1g2263|XP_022005974|(126031743-126035816),none,none,Sre3g1615|Streb.3G016150.1|(21067853-21072241),Cca10g0840|XP_024982485|(22446132-22451877),none,none,Cso3g4220|KAJ9558855.1|(98201949-98202001)
Asterales_Lsa_chr1_gene2137,Lsa1g2137|XP_023748695|(82366307-82369126),Mmi16g1039|KAD3337108.1|(56526367-56532323),none,Han2g2540|XP_022026578|(172084528-172093564),Han11g2708|XP_021994206|(160477177-160481939),Sre1g2032|Streb.1G020320.1|(73532269-73536828),none,Cca10g0839|XP_024982486|(22439990-22446085),Cti6g0684|CtAH06T0068400.1|(8909171-8915418),Eca9g1851|XP_043609312|(29593503-29597899),Cso3g4219|KAJ9558852.1|(98191433-98191550)
Asterales_Lsa_chr1_gene2138,Lsa1g2138|XP_023748657|(82372582-82375672),none,Mmi7g1287|KAD5803549.1|(58748302-58754107),Han1g2264|XP_022005973|(126061511-126065742),Han11g2707|XP_035835897|(160457779-160462571),none,none,Cca10g0838|XP_024982647|(22429345-22434544),Cti6g0685|CtAH06T0068500.1|(8944435-8950309),Eca9g1838|XP_043609242|(29320006-29327213),Cso3g4218|KAJ9558868.1|(98171504-98172098)
Asterales_Lsa_chr1_gene2139,Lsa1g2139|XP_042752797|(82413516-82415522),Mmi16g1038|KAD3337107.1|(56506954-56517157),Mmi7g1290|KAD5803552.1|(58766233-58769298),none,Han11g2704|XP_035836036|(160216057-160218420),none,none,Cca10g0836|XP_024984194|(22384201-22388482),Cti6g0687|CtAH06T0068700.1|(9032915-9040852),none,Cso3g4217|KAJ9558869.1|(98137352-98137989)
Asterales_Lsa_chr1_gene2140,Lsa1g2140|XP_023748737|(82437880-82442862),Mmi16g1030|KAD3337099.1|(56011164-56014952),Mmi7g1291|KAD5803553.1|(58773105-58781102),none,Han11g2703|XP_022008529|(160108721-160111546),Sre1g2031|Streb.1G020310.1|(73457921-73461123),Sre3g1613|Streb.3G016130.1|(21054282-21061151),Cca10g0835|XP_024982977|(22373855-22378898),Cti6g0688|CtAH06T0068800.1|(9065489-9071370),Eca9g1837|XP_043610201|(29312662-29317755),Cso3g4215|KAJ9558870.1|(98086373-98087022)
Asterales_Lsa_chr1_gene2141,Lsa1g2141|XP_023748732|(82512710-82514408),none,Mmi7g1293|KAD5803555.1|(58790569-58793293),none,Han11g2701|XP_022039558|(160047886-160052011),Sre1g2028|Streb.1G020280.1|(73222615-73224836),none,Cca10g0829|XP_024983581|(22174538-22177108),Cti6g0689|CtAH06T0068900.1|(9082373-9088651),Eca9g1836|XP_043610711|(29298681-29301557),Cso3g4213|KAJ9558828.1|(98056075-98056147)
Asterales_Lsa_chr1_gene2142,Lsa1g2142|XP_023748702|(82517529-82521202),none,Mmi7g1294|KAD5803556.1|(58809865-58813925),Han1g2268|XP_022016023|(126539339-126543121),none,none,Sre3g1609|Streb.3G016090.1|(20988293-20993138),Cca10g0828|XP_024984455|(22167091-22171542),none,Eca9g1833|XP_043608987|(29283490-29289243),Cso3g4212|KAJ9558825.1|(98050176-98053136)
Asterales_Lsa_chr1_gene2143,Lsa1g2143|XP_023748751|(82527215-82528402),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2144,Lsa1g2144|XP_023748677|(82528671-82529225),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene2145,Lsa1g2145|XP_023748634|(82542887-82546721),Mmi16g1029|KAD3337098.1|(55980442-55991440),none,Han2g2546|XP_022026586|(172172782-172184423),Han11g2700|XP_022039555|(160000690-160005901),none,none,Cca10g0827|XP_024982396|(22154751-22163591),Cti6g0690|CtAH06T0069000.1|(9094930-9103177),none,Cso3g4211|KAJ9558832.1|(98045369-98045523)
